year,Marine Macro HDPE-rigid-large,Marine Macro LDPE-flexible-large,Marine Macro LDPE-flexible-small,Marine Macro Multilayer-flexible-large (food packaging film),Marine Macro Multilayer-flexible-large (non-food packaging film),Marine Macro Multilayer-flexible-small (food packaging film),Marine Macro Multilayer-rigid-large,Marine Macro PET-rigid-large,Marine Macro PP-flexible-large,Marine Macro PP-flexible-small,Marine Macro PP-rigid-large,Marine Macro PS-rigid-large,Marine Macro PVC-rigid-large
2088,61795757323.223305,330227268423.9755,39608727875.44868,9882372899.227491,34976262882.976425,97877896080.5927,39231346792.08395,87950673303.64383,121224800636.09732,14015236202.687666,144125807483.78152,12645134339.07524,12298293567.829546
2089,62682588988.13948,334966363969.4087,40177153210.91738,10028268460.935936,35492624851.07955,99322888166.31284,39810527464.09212,88895824174.61647,123957239658.53032,14331143328.192446,147374441248.83542,12831817132.377073,12479855877.451977
2090,63556652735.75621,339637229677.7803,40737394797.47263,10172198507.22648,36002030353.90272,100748413215.54489,40381905372.75881,89819982467.34877,126697315460.5652,14647933369.316692,150632154484.59927,13015984921.766554,12658972166.683561
2091,64412994086.593834,344213389553.0689,41286277002.385345,10313392162.448038,36501751063.97868,102146836251.58463,40942420272.29997,90713654382.30875,129438971639.25851,14964906123.483492,153891746651.57877,13196651322.06412,12834683105.699568
2092,65252134487.644875,348697630129.8754,41824134053.3262,10451924982.197004,36992054392.02236,103518905599.03871,41492372105.63768,91578367435.20317,132182203884.462,15282061092.38107,157153212625.38025,13373913011.534824,13007082720.996943
2093,66074580043.34016,353092655954.4497,42351290343.967926,10587870435.873766,37473200365.16365,104865348920.22154,42032052533.84912,92415572605.77737,134927007897.78249,15599397779.056688,160416547295.58585,13547863999.021196,13176262442.869135
2094,66880821966.97379,357401091997.0382,42868060723.33153,10721299964.285488,37945441830.8186,106186873785.6702,42561745164.83997,93226648172.63885,137673379392.5497,15916915687.91295,163681745565.71524,13718595697.649729,13342311177.090921
2095,67671337018.84587,361625485993.25275,43374750776.61906,10852283035.658422,38409024654.93138,107484168228.90651,43081725775.70375,94012903355.93773,140421314093.78442,16234614324.704096,166948802353.18768,13886196996.502245,13505315374.62391
2096,68446587931.51361,365768310716.549,43871657097.78344,10980887200.103638,38864187914.74249,108757901285.88153,43592262528.941505,94775581777.53104,143170807738.1665,16552493196.532314,170217712589.28415,14050754330.308317,13665359099.397371
2097,69207023822.53041,369831966183.84204,44359067554.07846,11107178142.578861,39311164086.23442,110008723519.52507,44093616182.71144,95515864747.77614,145921856074.00314,16870551811.844076,173488471219.10947,14212351747.213367,13822524094.217552
2098,69953080595.04077,373818781796.2257,44837261542.82488,11231219734.387993,39750179226.401634,111237267529.81177,44586040295.27317,96234874387.63963,148674454861.19717,17188789680.426456,176761073201.55466,14371070974.675613,13976889844.857141
2099,70685181326.58852,377731018416.70575,45306510240.62172,11353074083.25862,40181453150.48784,112444148449.74344,45069781423.78704,96933676594.37363,151428599871.21533,17507206313.40349,180035513509.25928,14526991483.543488,14128533642.375128
2100,71403736646.48517,381570870386.7991,45767076845.22495,11472801582.036839,40605199604.32947,113629964427.63676,45545079317.62429,97613283858.59702,154184286887.05685,17825801223.232506,183311787128.574,14680190550.363806,14277530643.715929
