year,process_index,process_name,gwp_contribution,coef_gwp,s
2045,543,"Forest residue, processed and loaded, at landing system",1086964890726.4196,1408.9687974650556,771461293.3104204
2045,227,"Heat, Natural Gas",306822288215.4357,0.0602,5096715751086.973
2045,358,"Electricity, coal (life cycle)",251754781582.27527,1000.9430000000001,251517600.48501787
2045,522,Plastic Incineration CO2 to the atmosphere,222943095258.8055,1.0,222943095258.8055
2045,541,Steam Cracker CO2 to the atmosphere,217520924096.0,1.0,217520924096.0
2046,543,"Forest residue, processed and loaded, at landing system",905793957743.5392,1128.968797465055,802319745.0428883
2046,227,"Heat, Natural Gas",319095179744.055,0.0602,5300584381130.481
2046,358,"Electricity, coal (life cycle)",252787596174.30768,1000.9430000000001,252549442.05045408
2046,522,Plastic Incineration CO2 to the atmosphere,231860819069.15775,1.0,231860819069.15775
2046,541,Steam Cracker CO2 to the atmosphere,226221761059.83997,1.0,226221761059.83997
2047,543,"Forest residue, processed and loaded, at landing system",707342291790.3905,848.9687974650556,833178196.7752537
2047,227,"Heat, Natural Gas",331368071272.6706,0.0602,5504453011173.931
2047,358,"Electricity, coal (life cycle)",253126348404.89023,1000.9430000000001,252887875.13863447
2047,522,Plastic Incineration CO2 to the atmosphere,240778542879.50995,1.0,240778542879.50995
2047,541,Steam Cracker CO2 to the atmosphere,234922598023.68,1.0,234922598023.68
2048,543,"Forest residue, processed and loaded, at landing system",487136645907.4187,568.9687974650553,856174623.4200785
2048,227,"Heat, Natural Gas",343991538301.01874,0.0602,5714145154501.973
2048,358,"Electricity, coal (life cycle)",252704998079.49118,1000.9430000000001,252466921.77225992
2048,522,Plastic Incineration CO2 to the atmosphere,249696266689.86215,1.0,249696266689.86215
2048,541,Steam Cracker CO2 to the atmosphere,243623434987.52,1.0,243623434987.52
2049,227,"Heat, Natural Gas",356276950383.19586,0.0602,5918221767162.723
2049,522,Plastic Incineration CO2 to the atmosphere,258613990500.21442,1.0,258613990500.21442
2049,543,"Forest residue, processed and loaded, at landing system",256243742469.41406,288.968797465055,886752288.5421622
2049,541,Steam Cracker CO2 to the atmosphere,252324271951.36002,1.0,252324271951.36002
2049,358,"Electricity, coal (life cycle)",251652571581.55447,1000.9430000000001,251415486.77752325
2050,227,"Heat, Natural Gas",368562362465.37506,0.0602,6122298379823.507
2050,522,Plastic Incineration CO2 to the atmosphere,267531714310.5666,1.0,267531714310.5666
2050,541,Steam Cracker CO2 to the atmosphere,261025108915.2,1.0,261025108915.2
2050,358,"Electricity, coal (life cycle)",249905137842.18564,1000.9430000000001,249669699.31573087
2050,649,"Petroleum refining, at refinery",106620784964.34189,0.011409594630995907,9344835501402.498
2051,227,"Heat, Natural Gas",381235911707.97034,0.0602,6332822453620.7705
2051,522,Plastic Incineration CO2 to the atmosphere,276449438120.9188,1.0,276449438120.9188
2051,541,Steam Cracker CO2 to the atmosphere,269725945879.03998,1.0,269725945879.03998
2051,358,"Electricity, coal (life cycle)",248310529380.40842,1000.9430000000001,248076593.15306506
2051,649,"Petroleum refining, at refinery",109159232859.66882,0.011409594630995907,9567319119569.865
2052,227,"Heat, Natural Gas",393934502057.6873,0.0602,6543762492652.613
2052,522,Plastic Incineration CO2 to the atmosphere,285367161931.271,1.0,285367161931.271
2052,541,Steam Cracker CO2 to the atmosphere,278426782842.88,1.0,278426782842.88
2052,358,"Electricity, coal (life cycle)",246082083117.24857,1000.9430000000001,245850246.33495468
2052,649,"Petroleum refining, at refinery",111632159576.27629,0.011409594630995907,9784060099121.355
2053,227,"Heat, Natural Gas",406658133514.525,0.0602,6755118496919.0205
2053,522,Plastic Incineration CO2 to the atmosphere,294284885741.6232,1.0,294284885741.6232
2053,541,Steam Cracker CO2 to the atmosphere,287127619806.72003,1.0,287127619806.72003
2053,358,"Electricity, coal (life cycle)",243217668497.02536,1000.9430000000001,242988530.31294024
2053,649,"Petroleum refining, at refinery",114039565114.16438,0.011409594630995907,9995058440056.975
2054,227,"Heat, Natural Gas",418629855688.60065,0.0602,6953984313764.131
2054,522,Plastic Incineration CO2 to the atmosphere,303202609551.9754,1.0,303202609551.9754
2054,541,Steam Cracker CO2 to the atmosphere,295828456770.56,1.0,295828456770.56
