year,Marine Macro HDPE-rigid-large,Marine Macro LDPE-flexible-large,Marine Macro LDPE-flexible-small,Marine Macro Multilayer-flexible-large (food packaging film),Marine Macro Multilayer-flexible-large (non-food packaging film),Marine Macro Multilayer-flexible-small (food packaging film),Marine Macro Multilayer-rigid-large,Marine Macro PET-rigid-large,Marine Macro PP-flexible-large,Marine Macro PP-flexible-small,Marine Macro PP-rigid-large,Marine Macro PS-rigid-large,Marine Macro PVC-rigid-large,A_total_kg
2079,1786339675.6715317,9806059280.344986,1180435522.0434694,291180804.7916014,1027149642.9842908,2873782066.916014,1135195017.059968,3464407251.2683206,2091628562.179531,245482188.50099558,2367866135.3087416,351773576.3674481,345355681.6978845,26966655405.134785
2080,1799324491.5902243,9877339046.661097,1189016050.2410855,293297383.85031503,1034615943.608268,2894671448.5031505,1143446694.2348588,3489589858.49457,2106832508.114377,247266586.54825097,2385078038.680664,354330601.32546693,347866055.2927809,27162674707.145107
2081,1808599360.103576,9928253165.458319,1195144998.9536684,294809226.0351105,1039949015.4825374,2909592435.3511047,1149340749.3597808,3507577435.0847483,2117692469.49641,248541156.58200485,2397372255.374894,356157047.7240518,349659179.2891354,27302688494.29534
2082,1817874228.6169276,9979167284.25554,1201273947.6662512,296321068.2199059,1045282087.3568068,2924513422.199059,1155234804.4847028,3525565011.6749263,2128552430.8784428,249815726.61575872,2409666472.069124,357983494.1226367,351452303.2854899,27442702281.445568
2083,1827149097.1302793,10030081403.052763,1207402896.3788342,297832910.40470135,1050615159.2310762,2939434409.0470133,1161128859.6096246,3543552588.265105,2139412392.2604756,251090296.6495126,2421960688.763355,359809940.5212216,353245427.2818445,27582716068.595806
2084,1836423965.643631,10080995521.849985,1213531845.091417,299344752.5894968,1055948231.1053457,2954355395.894968,1167022914.7345467,3561540164.855283,2150272353.6425085,252364866.68326646,2434254905.457585,361636386.9198064,355038551.278199,27722729855.746037
2085,1845698834.156983,10131909640.647207,1219660793.804,300856594.77429223,1061281302.9796151,2969276382.7429223,1172916969.8594687,3579527741.4454613,2161132315.0245414,253639436.71702033,2446549122.151815,363462833.3183913,356831675.27455354,27862743642.89627
2086,1854973702.6703343,10182823759.44443,1225789742.516583,302368436.95908767,1066614374.8538845,2984197369.5908766,1178811024.9843905,3597515318.0356393,2171992276.4065742,254914006.7507742,2458843338.8460455,365289279.7169762,358624799.2709081,28002757430.0465
2087,1864248571.183686,10233737878.241652,1231918691.2291658,303880279.1438831,1071947446.728154,2999118356.438831,1184705080.1093125,3615502894.625818,2182852237.788607,256188576.78452808,2471137555.5402756,367115726.11556107,360417923.26726264,28142771217.196735
2088,1873523439.6970377,10284651997.038874,1238047639.9417486,305392121.32867855,1077280518.6024234,3014039343.2867856,1190599135.2342346,3633490471.2159953,2193712199.17064,257463146.81828195,2483431772.2345057,368942172.514146,362211047.26361716,28282785004.34697
2089,1882798308.2103894,10335566115.836096,1244176588.6543314,306903963.513474,1082613590.4766927,3028960330.13474,1196493190.3591564,3651478047.806174,2204572160.552673,258737716.85203582,2495725988.9287357,370768618.9127309,364004171.25997174,28422798791.497196
2090,1892073176.723741,10386480234.633318,1250305537.3669145,308415805.6982694,1087946662.3509622,3043881316.982694,1202387245.4840784,3669465624.396352,2215432121.9347057,260012286.8857897,2508020205.6229663,372595065.3113157,365797295.25632626,28562812578.647434
2091,1897638097.8317518,10417028705.911652,1253982906.5944643,309322911.0091467,1091146505.475524,3052833909.091467,1205923678.5590315,3680258170.350459,2221948098.7639256,260777028.906042,2515396735.6395044,373690933.1504667,366873169.654139,28646820850.937576
2092,1903203018.939763,10447577177.189983,1257660275.8220139,310230016.32002395,1094346348.6000855,3061786501.2002397,1209460111.6339848,3691050716.3045654,2228464075.5931454,261541770.92629433,2522773265.6560426,374786800.98961765,367949044.0519517,28730829123.22771
2093,1908767940.047774,10478125648.468317,1261337645.0495636,311137121.6309012,1097546191.7246473,3070739093.309012,1212996544.708938,3701843262.2586727,2234980052.422365,262306512.94654667,2530149795.6725807,375882668.82876855,369024918.4497645,28814837395.517857
2094,1914332861.1557848,10508674119.74665,1265015014.2771134,312044226.9417784,1100746034.8492088,3079691685.4177847,1216532977.7838912,3712635808.2127795,2241496029.2515845,263071254.966799,2537526325.689119,376978536.66791946,370100792.84757715,28898845667.807987
2095,1919897782.263796,10539222591.024984,1268692383.5046632,312951332.25265574,1103945877.9737704,3088644277.5265574,1220069410.8588443,3723428354.166887,2248012006.0808043,263835996.9870513,2544902855.705657,378074404.50707036,371176667.2453899,28982853940.09813
2096,1925462703.371807,10569771062.303318,1272369752.732213,313858437.563533,1107145721.0983322,3097596869.63533,1223605843.9337974,3734220900.120993,2254527982.910024,264600739.00730363,2552279385.722195,379170272.34622127,372252541.6432026,29066862212.38827
2097,1931027624.4798183,10600319533.58165,1276047121.9597626,314765542.8744103,1110345564.2228937,3106549461.7441025,1227142277.0087507,3745013446.0751,2261043959.739244,265365481.02755594,2559655915.7387333,380266140.1853723,373328416.0410153,29150870484.678406
2098,1936592545.587829,10630868004.859983,1279724491.1873124,315672648.18528754,1113545407.3474555,3115502053.852875,1230678710.0837038,3755805992.029207,2267559936.568464,266130223.04780826,2567032445.7552714,381362008.0245232,374404290.4388281,29234878756.96855
2099,1942157466.69584,10661416476.138317,1283401860.4148622,316579753.4961648,1116745250.472017,3124454645.961648,1234215143.158657,3766598537.9833145,2274075913.397683,266894965.06806058,2574408975.7718096,382457875.8636741,375480164.8366408,29318887029.258686
2100,1947722387.8038511,10691964947.41665,1287079229.642412,317486858.80704206,1119945093.5965786,3133407238.0704203,1237751576.2336102,3777391083.9374213,2280591890.226903,267659707.08831292,2581785505.7883477,383553743.702825,376556039.2344535,29402895301.548832
