year,process_index,process_name,gwp_contribution,abs_contribution,coef_gwp,s
2069,358,"Electricity, coal (life cycle)",145381263442.72864,145381263442.72864,1000.9430000000001,145244298.06964895
2070,543,"Forest residue, processed and loaded, at landing system",-1907804506284.6575,1907804506284.6575,-1591.0312025349442,1199099366.0243793
2070,227,"Heat, Natural Gas",560731492441.9629,560731492441.9629,0.0602,9314476618637.258
2070,522,Plastic Incineration CO2 to the atmosphere,401297571465.8498,401297571465.8498,1.0,401297571465.8498
2070,541,Steam Cracker CO2 to the atmosphere,391537663372.80005,391537663372.80005,1.0,391537663372.80005
2070,649,"Petroleum refining, at refinery",139292006149.89288,139292006149.89288,0.011409594630995907,12208322088103.365
2071,543,"Forest residue, processed and loaded, at landing system",-1998038676800.741,1998038676800.741,-1671.0312025349442,1195692021.6508994
2071,227,"Heat, Natural Gas",565660544487.2035,565660544487.2035,0.0602,9396354559588.098
2071,522,Plastic Incineration CO2 to the atmosphere,404418774799.47327,404418774799.47327,1.0,404418774799.47327
2071,541,Steam Cracker CO2 to the atmosphere,394582956310.14404,394582956310.14404,1.0,394582956310.14404
2071,649,"Petroleum refining, at refinery",138889695692.48456,138889695692.48456,0.011409594630995907,12173061373729.219
2072,543,"Forest residue, processed and loaded, at landing system",-2109852647429.9856,2109852647429.9856,-1751.0312025349442,1204920074.7397194
2072,227,"Heat, Natural Gas",570026171622.1655,570026171622.1655,0.0602,9468873282760.225
2072,522,Plastic Incineration CO2 to the atmosphere,407539978133.09644,407539978133.09644,1.0,407539978133.09644
2072,541,Steam Cracker CO2 to the atmosphere,397628249247.48804,397628249247.48804,1.0,397628249247.48804
2072,649,"Petroleum refining, at refinery",139961611756.26343,139961611756.26343,0.011409594630995907,12267010028212.248
2073,543,"Forest residue, processed and loaded, at landing system",-2223143106553.4326,2223143106553.4326,-1831.0312025349442,1214148127.8285344
2073,227,"Heat, Natural Gas",574391798757.127,574391798757.127,0.0602,9541392005932.342
2073,522,Plastic Incineration CO2 to the atmosphere,410661181466.7198,410661181466.7198,1.0,410661181466.7198
2073,541,Steam Cracker CO2 to the atmosphere,400673542184.83203,400673542184.83203,1.0,400673542184.83203
2073,649,"Petroleum refining, at refinery",141033527820.04218,141033527820.04218,0.011409594630995907,12360958682695.27
2074,543,"Forest residue, processed and loaded, at landing system",-2313012186601.1406,2313012186601.1406,-1911.0312025349442,1210347682.2005715
2074,227,"Heat, Natural Gas",579338379577.3506,579338379577.3506,0.0602,9623561122547.352
