Flow name,Process,Type of flow,,,,,,,,,,,,,,,,,,,,,,,
"Flakes, PP Non-food Bottles","Pyrolysis, PP Non-food Bottles",output,,,,,,,,,,,,,,,,,,,,,,,
"Flakes, PP Non-food Packaging Films","Flakes, PP Non-food Packaging Films",input,,,,,,,,,,,,,,,,,,,,,,,
"Flakes, PP Non-food Packaging Films","Pyrolysis, PP Non-food Packaging Films",output,,,,,,,,,,,,,,,,,,,,,,,
"Flakes, PP Non-food Packaging Films","Mechanical Recycling, PP Non-food Packaging Films (Flakes)",output,,,,,,,,,,,,,,,,,,,,,,,
"Flakes, PP Other Food Rigid","Flakes, PP Other Food Rigid",input,,,,,,,,,,,,,,,,,,,,,,,
"Flakes, PP Other Food Rigid","Mechanical Recycling, PP Other Food Rigid (Flakes)",output,,,,,,,,,,,,,,,,,,,,,,,
"Flakes, PP Other Food Rigid","Pyrolysis, PP Other Food Rigid",output,,,,,,,,,,,,,,,,,,,,,,,
"Flakes, PP Other Non-food Rigid","Flakes, PP Other Non-food Rigid",input,,,,,,,,,,,,,,,,,,,,,,,
"Flakes, PP Other Non-food Rigid","Mechanical Recycling, PP Other Non-food Rigid (Flakes)",output,,,,,,,,,,,,,,,,,,,,,,,
"Flakes, PP Other Non-food Rigid","Pyrolysis, PP Other Non-food Rigid",output,,,,,,,,,,,,,,,,,,,,,,,
"Flakes, PS Other Food Rigid","Flakes, PS Other Food Rigid",input,,,,,,,,,,,,,,,,,,,,,,,
"Flakes, PS Other Food Rigid","Mechanical Recycling, PP Other Non-food Rigid (Flakes)",output,,,,,,,,,,,,,,,,,,,,,,,
"Flakes, PS Other Food Rigid","Pyrolysis, PP Other Non-food Rigid",output,,,,,,,,,,,,,,,,,,,,,,,
Electricity Mix (Global),Electricity Mix (Global),input,,,,,,,,,,,,,,,,,,,,,,,
Electricity Mix (Global),Clean Electricity,output,,,,,,,,,,,,,,,,,,,,,,,
Electricity Mix (Global),Fossil Electricity,output,,,,,,,,,,,,,,,,,,,,,,,
