index,is input,flow ID,flow name,flow category,flow unit,flow type,location ID,location name,location code
935,false,e8f10c89-0a16-30e6-8410-1300de5e8647,Barium,Elementary flows/emission/water/fresh water body,kg,elementary,,,
936,false,d473092b-fc24-3393-99c1-0ee02f271426,Xenon-133m,Elementary flows/emission/air,kBq,elementary,,,
937,false,6c7402f5-173f-358a-8724-db60071b5091,Pentane,Elementary flows/emission/air,kg,elementary,,,
938,true,4aca0c2c-6e1a-3d90-956c-7141ca8932ce,Crude oil,Elementary flows/resource/water,MJ,elementary,,,
939,false,b2d3d158-5bed-3e75-b20b-7a9de6586708,Aromatic hydrocarbons,Elementary flows/emission/water/saline water body/ocean,kg,elementary,,,
940,false,e8290192-858e-386e-b764-cc1d1b8d4556,Thorium-230,Elementary flows/emission/air,kBq,elementary,,,
941,false,8525d639-0e0b-30b7-a079-6f84791f0751,Nitrogen,Elementary flows/emission/water/fresh water body,kg,elementary,,,
942,false,f90c330f-5759-3886-8fc5-c2b6c46d216e,Ammonia,Elementary flows/emission/water/fresh water body,kg,elementary,,,
943,false,17dac1fd-efcf-3118-bfa7-69313dbf8b3f,Barium-140,Elementary flows/emission/air,kBq,elementary,,,
944,false,f04f8dd1-7fd7-32a2-a266-e3d548061e9f,Arsenic(V),Elementary flows/emission/ground/human-dominated/agricultural,kg,elementary,,,
945,false,73e43f0e-840c-3457-8332-9b3f6134b5ab,Manganese,Elementary flows/emission/water/fresh water body,kg,elementary,,,
946,false,76a96f3f-4995-3b35-9b20-990bf891c064,Vanadium,Elementary flows/emission/ground/human-dominated/industrial,kg,elementary,,,
947,true,c2b6a560-8c1d-3aa4-a6a1-06725f9c43a3,Holmium,Elementary flows/resource/ground/subterranean,kg,elementary,,,
948,false,b20513f5-f6ff-4753-90e7-01e1b1e9eada,"Disposal, hazardous waste",Technosphere flows/CUTOFF Flows/CUTOFF Waste Flows,kg,waste,,,
949,false,2783bd25-ce1e-32c8-b11c-175d2ddb5149,Cobalt-58,Elementary flows/emission/water/fresh water body,kBq,elementary,,,
950,true,76daf866-b662-3499-bcb6-6407d3d69208,Manganese ore,Elementary flows/resource/ground,kg,elementary,,,
951,false,5072c316-c9f9-30f2-808c-7fc8d0a59968,1-Undecene,Elementary flows/emission/air,kg,elementary,,,
952,false,480cf2d0-b74a-34e9-b959-1d0f066428a4,Chromium(III),Elementary flows/emission/water/fresh water body,kg,elementary,,,
953,false,b5396e0b-2dd1-32e1-ab4f-ef11a7af2db2,Trichlorfon,Elementary flows/emission/air,kg,elementary,,,
954,false,bcf0e320-107e-3198-80ed-fd4108a460bb,"Actinides, unspecified",Elementary flows/emission/air,kBq,elementary,,,
955,false,290f3103-7be5-3af3-a342-634902137bd6,"2,2-Dimethylbutane",Elementary flows/emission/air,kg,elementary,,,
956,false,9e32fa50-41aa-3c16-8a4c-2e97713a2f9c,Xenon-138,Elementary flows/emission/air,kBq,elementary,,,
